time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T00:49:25.294Z,52.0999,178.5218,82.77,3.1,ml,14.0,139.0,0.87,0.18,us,us7000j5a1,2023-03-11T22:51:52.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,8.46,21.213,0.097,14.0,reviewed,us,us
2023-01-01T01:41:43.755Z,7.1397,126.738,79.194,4.5,mb,32.0,104.0,1.152,0.47,us,us7000j3xk,2023-03-11T22:51:45.040Z,"23 km ESE of Manay, Philippines",earthquake,5.51,7.445,0.083,43.0,reviewed,us,us
2023-01-01T03:29:31.070Z,19.1631,-66.5251,24.0,3.93,md,23.0,246.0,0.8479,0.22,pr,pr2023001000,2023-03-11T22:51:29.040Z,Puerto Rico region,earthquake,0.91,15.95,0.09,16.0,reviewed,pr,pr
2023-01-01T04:09:32.814Z,-4.7803,102.7675,63.787,4.3,mb,17.0,187.0,0.457,0.51,us,us7000j3xm,2023-03-11T22:51:45.040Z,"99 km SSW of Pagar Alam, Indonesia",earthquake,10.25,6.579,0.238,5.0,reviewed,us,us
2023-01-01T04:29:13.793Z,53.3965,-166.9417,10.0,3.0,ml,19.0,190.0,0.4,0.31,us,us7000j1zd,2023-03-11T22:51:38.040Z,"59 km SSW of Unalaska, Alaska",earthquake,1.41,1.999,0.085,18.0,reviewed,us,us
2023-01-01T04:50:17.639Z,19.2811,-155.4282,37.751,2.8,ml,19.0,127.0,0.066,0.18,us,us7000j1c7,2023-03-11T22:51:29.040Z,"10 km NNE of P?hala, Hawaii",earthquake,2.77,5.266,0.06,36.0,reviewed,us,us
2023-01-01T04:54:53.914Z,-19.0419,-177.5423,556.99,4.1,mb,15.0,87.0,3.051,0.15,us,us7000j3xu,2023-03-11T22:51:45.040Z,Fiji region,earthquake,12.85,13.028,0.213,6.0,reviewed,us,us
2023-01-01T05:02:46.402Z,-15.3219,-174.8756,255.47,4.1,mb,40.0,81.0,3.413,0.32,us,us7000j3xn,2023-03-11T22:51:45.040Z,Tonga,earthquake,9.84,6.047,0.095,34.0,reviewed,us,us
2023-01-01T05:18:17.780Z,40.7038333,-124.2061667,18.47,2.7,md,30.0,154.0,0.01251,0.14,nc,nc73827421,2023-04-05T16:43:13.238Z,"3km SSW of Humboldt Hill, CA",earthquake,0.41,0.28,0.112,35.0,reviewed,nc,nc
2023-01-01T05:37:05.794Z,2.4752,128.6389,231.588,4.1,mb,27.0,119.0,2.117,0.45,us,us7000j3xs,2023-03-11T22:51:45.040Z,"108 km NE of Tobelo, Indonesia",earthquake,7.94,9.269,0.123,18.0,reviewed,us,us
2023-01-01T05:37:17.016Z,51.461,-177.4797,33.99,3.0,ml,23.0,208.0,0.337,0.49,us,us7000j5a0,2023-03-11T22:51:52.040Z,,earthquake,3.0,10.5,0.115,10.0,reviewed,us,us
2023-01-01T06:19:31.410Z,36.5958333,-121.2001667,8.14,3.14,ml,67.0,66.0,0.02686,0.1,nc,nc73827426,2023-04-05T16:40:38.255Z,"9km NW of Pinnacles, CA",earthquake,0.14,0.3,0.146,58.0,reviewed,nc,nc
2023-01-01T06:24:46.403Z,-15.1473,66.7962,10.0,4.2,mb,20.0,108.0,5.629,0.78,us,us7000j3ye,2023-03-11T22:51:46.040Z,Mid-Indian Ridge,earthquake,9.84,1.875,0.167,14.0,reviewed,us,us
2023-01-01T06:49:10.190Z,36.595,-121.2063333,7.74,3.9,mw,70.0,72.0,0.02872,0.13,nc,nc73827436,2023-04-05T16:10:51.335Z,"9km NW of Pinnacles, CA",earthquake,0.16,0.33,,5.0,reviewed,nc,nc
